start_time,max_userid,max_bikeid
2016/8/1,8605,129627
2016/8/2,8663,134312
2016/8/3,9324,139574
2016/8/4,9714,145425
2016/8/5,10336,151873
2016/8/6,10548,159055
2016/8/7,10888,167056
2016/8/8,10954,174507
2016/8/9,11298,180977
2016/8/10,11865,188646
2016/8/11,12500,197298
2016/8/12,13003,206070
2016/8/13,13545,215619
2016/8/14,13652,224716
2016/8/15,13652,233490
2016/8/16,14007,242615
2016/8/17,14653,252081
2016/8/18,14653,262156
2016/8/19,15949,271260
2016/8/20,16045,282233
2016/8/21,16184,292268
2016/8/22,16184,302519
2016/8/23,16948,311248
2016/8/24,17517,321071
2016/8/25,17519,330788
2016/8/26,17586,340412
2016/8/27,17657,352447
2016/8/28,17657,364475
2016/8/29,17715,373349
2016/8/30,17739,381261
2016/8/31,17753,387351
