start_time,orderid,bikeid
2016-08-01,0,0
2016-08-01,1,1744
2016-08-01,2,40
2016-08-01,3,1
2016-08-02,0,1718
2016-08-02,1,1388
2016-08-02,2,33
2016-08-02,3,1
2016-08-03,0,3022
2016-08-03,1,1809
2016-08-03,2,39
2016-08-03,3,1
2016-08-04,0,4720
2016-08-04,1,1657
2016-08-04,2,25
2016-08-04,3,0
2016-08-05,0,6248
2016-08-05,1,1506
2016-08-05,2,21
2016-08-05,3,0
2016-08-06,0,7588
2016-08-06,1,2079
2016-08-06,2,51
2016-08-06,3,1
2016-08-07,0,9518
2016-08-07,1,1973
2016-08-07,2,61
2016-08-07,3,0
2016-08-08,0,11215
2016-08-08,1,2457
2016-08-08,2,54
2016-08-08,3,1
2016-08-09,0,13303
2016-08-09,1,2523
2016-08-09,2,50
2016-08-09,3,4
2016-08-10,0,15370
2016-08-10,1,2837
2016-08-10,2,66
2016-08-10,3,1
2016-08-11,0,17772
2016-08-11,1,2737
2016-08-11,2,54
2016-08-11,3,1
2016-08-12,0,19946
2016-08-12,1,3085
2016-08-12,2,49
2016-08-12,3,1
2016-08-13,0,22627
2016-08-13,1,2642
2016-08-13,2,79
2016-08-13,3,0
2016-08-14,0,24881
2016-08-14,1,2674
2016-08-14,2,55
2016-08-14,3,0
2016-08-15,0,26872
2016-08-15,1,3277
2016-08-15,2,77
2016-08-15,3,2
2016-08-16,0,29453
2016-08-16,1,3364
2016-08-16,2,78
2016-08-16,3,3
2016-08-17,0,32105
2016-08-17,1,3358
2016-08-17,2,67
2016-08-17,3,1
2016-08-18,0,34720
2016-08-18,1,3352
2016-08-18,2,65
2016-08-18,3,2
2016-08-19,0,37246
2016-08-19,1,3564
2016-08-19,2,64
2016-08-19,3,0
2016-08-20,0,40174
2016-08-20,1,3438
2016-08-20,2,79
2016-08-20,3,0
2016-08-21,0,43062
2016-08-21,1,2934
2016-08-21,2,50
2016-08-21,3,0
2016-08-22,0,45057
2016-08-22,1,3649
2016-08-22,2,57
2016-08-22,3,1
2016-08-23,0,47819
2016-08-23,1,3781
2016-08-23,2,62
2016-08-23,3,0
2016-08-24,0,50565
2016-08-24,1,3927
2016-08-24,2,79
2016-08-24,3,1
2016-08-25,0,53367
2016-08-25,1,4316
2016-08-25,2,61
2016-08-25,3,1
2016-08-26,0,56514
2016-08-26,1,4613
2016-08-26,2,80
2016-08-26,3,3
2016-08-27,0,60096
2016-08-27,1,4563
2016-08-27,2,102
2016-08-27,3,4
2016-08-28,0,63716
2016-08-28,1,4721
2016-08-28,2,104
2016-08-28,3,0
2016-08-29,0,67170
2016-08-29,1,4594
2016-08-29,2,91
2016-08-29,3,2
2016-08-30,0,70571
2016-08-30,1,4578
2016-08-30,2,76
2016-08-30,3,1
2016-08-31,0,73780
2016-08-31,1,5180
2016-08-31,2,102
2016-08-31,3,0
