orderid,first_x,first_y,last_x,last_y
78387,121.347,31.392,121.357,31.389
891333,121.489,31.27,121.508,31.279
1106623,121.381,31.251,121.407,31.249
1389484,121.471,31.325,121.484,31.32
188537,121.407,31.291,121.418,31.288
537030,121.468,31.233,121.488,31.224
517706,121.445,31.176,121.447,31.173
270836,121.367,31.238,121.371,31.251
441362,121.529,31.324,121.532,31.323
76435,121.447,31.317,121.468,31.32
903987,121.51,31.304,121.514,31.307
1749105,121.384,31.166,121.439,31.193
760441,121.419,31.292,121.442,31.297
163153,121.551,31.278,121.552,31.278
1718308,121.521,31.316,121.528,31.309
113197,121.412,31.359,121.433,31.361
1660785,121.585,31.246,121.59,31.243
1796188,121.473,31.273,121.483,31.278
1725437,121.437,31.262,121.442,31.264
974312,121.427,31.303,121.437,31.297
1016344,121.45,31.196,121.466,31.185
4156,121.383,31.187,121.384,31.188
1013785,121.368,31.272,121.389,31.269
420053,121.426,31.182,121.432,31.181
737601,121.513,31.302,121.54,31.311
1663013,121.378,31.249,121.383,31.248
399789,121.361,31.244,121.368,31.241
1399630,121.499,31.336,121.507,31.331
773687,121.464,31.192,121.47,31.191
466460,121.502,31.308,121.533,31.318
770455,121.489,31.153,121.506,31.148
498783,121.403,31.163,121.421,31.176
696318,121.308,31.244,121.318,31.241
1636726,121.47,31.224,121.488,31.225
6291,121.41,31.273,121.417,31.272
381450,121.476,31.27,121.484,31.271
332076,121.488,31.296,121.5,31.302
1802934,121.499,31.308,121.504,31.306
785926,121.458,31.297,121.471,31.306
424808,121.401,31.139,121.413,31.142
529327,121.435,31.168,121.439,31.163
638449,121.441,31.304,121.477,31.292
1630164,121.436,31.328,121.446,31.321
994397,121.425,31.27,121.432,31.266
38637,121.429,31.204,121.434,31.202
63918,121.352,31.171,121.353,31.171
687323,121.27,31.166,121.275,31.169
1623489,121.476,31.292,121.483,31.29
256130,121.444,31.314,121.448,31.315
1224745,121.59,31.279,121.597,31.284
573805,121.511,31.261,121.52,31.269
982500,121.315,31.135,121.328,31.144
1006857,121.38,31.307,121.386,31.315
1637429,121.507,31.316,121.515,31.311
143407,121.441,31.331,121.453,31.335
215492,121.526,31.328,121.528,31.331
552334,121.445,31.152,121.45,31.152
203511,121.368,31.19,121.374,31.186
349812,121.528,31.279,121.547,31.288
1802844,121.531,31.315,121.541,31.318
324947,121.501,31.313,121.522,31.329
1398230,121.518,31.274,121.526,31.256
1563430,121.606,31.111,121.61,31.11
128188,121.441,31.214,121.46,31.215
748550,121.482,31.235,121.49,31.235
536965,121.44,31.195,121.453,31.19
1343437,121.36,31.237,121.368,31.229
1012072,121.48,31.334,121.488,31.342
1132212,121.512,31.206,121.518,31.203
588408,121.473,31.211,121.483,31.214
1623601,121.381,31.243,121.404,31.214
1231225,121.599,31.28,121.609,31.279
1648085,121.479,31.269,121.483,31.282
1787229,121.46,31.231,121.485,31.244
758465,121.481,31.335,121.488,31.338
461206,121.422,31.348,121.429,31.349
1529422,121.49,31.264,121.495,31.269
306858,121.374,31.322,121.38,31.323
811041,121.43,31.275,121.452,31.279
80889,121.351,31.223,121.359,31.223
108772,121.427,31.158,121.433,31.174
541767,121.469,31.204,121.476,31.207
1273528,121.525,31.187,121.533,31.189
1233091,121.361,31.214,121.366,31.219
380625,121.477,31.206,121.483,31.202
408144,121.531,31.214,121.543,31.215
1266384,121.458,31.279,121.465,31.279
413390,121.484,31.256,121.493,31.269
819758,121.455,31.219,121.464,31.221
931740,121.427,31.23,121.439,31.239
699531,121.42,31.197,121.443,31.196
1062902,121.429,31.221,121.44,31.229
203972,121.367,31.237,121.371,31.235
1701270,121.499,31.269,121.511,31.269
1173878,121.338,31.249,121.364,31.239
897825,121.479,31.311,121.485,31.311
1576368,121.427,31.224,121.449,31.224
998498,121.358,31.212,121.371,31.215
1241087,121.304,31.289,121.345,31.277
44566,121.509,31.31,121.527,31.324
338989,121.311,31.239,121.32,31.24
1371846,121.381,31.243,121.392,31.236
402972,121.506,31.321,121.511,31.32
401996,121.5,31.28,121.504,31.278
249011,121.464,31.199,121.483,31.209
555136,121.377,31.256,121.388,31.262
22096,121.416,31.293,121.441,31.297
1039577,121.457,31.247,121.475,31.245
1504315,121.48,31.311,121.482,31.311
1146919,121.412,31.199,121.446,31.193
1080844,121.367,31.237,121.381,31.243
1056621,121.432,31.181,121.436,31.182
183349,121.49,31.277,121.499,31.287
856060,121.351,31.286,121.402,31.263
71825,121.482,31.301,121.486,31.301
990456,121.411,31.287,121.416,31.287
1469096,121.479,31.269,121.49,31.259
442672,121.542,31.269,121.55,31.276
31091,121.352,31.171,121.355,31.167
1419609,121.515,31.29,121.516,31.29
