start_time,userid,release_e
2016/8/1,8605,Null
2016/8/2,8663,58
2016/8/3,9324,661
2016/8/4,9714,390
2016/8/5,10336,622
2016/8/6,10548,212
2016/8/7,10888,340
2016/8/8,10954,66
2016/8/9,11298,344
2016/8/10,11865,567
2016/8/11,12500,635
2016/8/12,13003,503
2016/8/13,13545,542
2016/8/14,13652,107
2016/8/15,13652,0
2016/8/16,14007,355
2016/8/17,14653,646
2016/8/18,14653,0
2016/8/19,15949,1296
2016/8/20,16045,96
2016/8/21,16184,139
2016/8/22,16184,0
2016/8/23,16948,764
2016/8/24,17517,569
2016/8/25,17519,2
2016/8/26,17586,67
2016/8/27,17657,71
2016/8/28,17657,0
2016/8/29,17715,58
2016/8/30,17739,24
2016/8/31,17753,14
