bikeid,Number of Records
1000,1
100002,1
100007,1
100014,1
100018,1
100019,1
100021,1
100025,1
100029,1
100031,1
100035,1
100044,1
100047,1
100051,1
100065,1
100067,1
100077,1
10008,1
100083,1
100085,1
100086,1
10009,1
10010,1
100110,1
100115,1
100120,1
100137,1
100141,1
10015,1
100159,1
100163,1
100168,1
100175,1
100182,1
10019,1
100190,1
100195,1
100197,1
100202,1
100203,1
100204,1
100208,1
100210,1
100212,1
100227,1
100240,1
100243,1
100248,1
100257,1
100259,1
10026,1
100268,1
100276,1
100295,1
100297,1
100308,1
100323,1
100325,1
100336,1
100339,1
100349,1
100357,1
100363,1
100372,1
100375,1
100376,1
100383,1
100387,1
100390,1
100394,1
100401,1
100408,1
10042,1
100434,1
100437,1
100440,1
100447,1
100448,1
100449,1
10046,1
100463,1
100464,1
100477,1
100478,1
100483,1
100485,1
100490,1
100492,1
100499,1
10050,1
100501,1
100516,1
100526,1
10053,1
100532,1
100533,1
100542,1
100547,1
100554,1
100567,1
10058,1
100581,1
100591,1
100593,1
100594,1
100596,1
100598,1
100601,1
100602,1
100605,1
100611,1
100614,1
100618,1
100623,1
100625,1
100628,1
10063,1
100631,1
100644,1
100648,1
100650,1
100651,1
100658,1
100660,1
100667,1
100668,1
100678,1
100684,1
100688,1
100690,1
100695,1
100698,1
100701,1
100702,1
100711,1
100714,1
100715,1
100720,1
100722,1
100723,1
100725,1
100732,1
100733,1
100736,1
100737,1
100743,1
100744,1
100745,1
100747,1
100749,1
100757,1
100758,1
100766,1
100773,1
100780,1
10079,1
100794,1
100795,1
100803,1
100817,1
100824,1
100827,1
100829,1
100833,1
100835,1
100838,1
100845,1
100849,1
10085,1
100850,1
100863,1
100866,1
100867,1
100879,1
100880,1
100896,1
100901,1
100903,1
100905,1
100906,1
100911,1
100914,1
100916,1
100923,1
100924,1
100937,1
100944,1
100948,1
100949,1
100952,1
10096,1
100979,1
10098,1
100984,1
100986,1
100988,1
100989,1
100990,1
100991,1
1010,1
101000,1
101002,1
101015,1
101019,1
10102,1
101029,1
101033,1
101036,1
10104,1
101048,1
101051,1
101054,1
101055,1
101060,1
101063,1
101066,1
101073,1
101074,1
101076,1
101088,1
101091,1
101101,1
101105,1
101113,1
101114,1
101116,1
101118,1
101127,1
101130,1
101138,1
101142,1
101149,1
101152,1
10116,1
101161,1
101165,1
101166,1
101168,1
101170,1
101171,1
101183,1
101184,1
101187,1
101190,1
101192,1
101202,1
101203,1
101204,1
10121,1
101219,1
10122,1
101233,1
101241,1
101242,1
101246,1
101252,1
101254,1
101260,1
101267,1
101268,1
101276,1
10128,1
101282,1
101284,1
101288,1
10130,1
101300,1
101302,1
101306,1
101313,1
101319,1
101320,1
101321,1
101323,1
101327,1
101328,1
101330,1
101331,1
101337,1
101338,1
10134,1
101351,1
101357,1
101364,1
101366,1
101373,1
101377,1
101389,1
101390,1
101391,1
1014,1
101400,1
101401,1
101414,1
101419,1
10142,1
101428,1
10143,1
101431,1
101439,1
101446,1
101450,1
101452,1
101453,1
10146,1
101461,1
101466,1
101471,1
101476,1
10148,1
10150,1
101500,1
101501,1
101511,1
101514,1
101522,1
101524,1
101527,1
10153,1
101530,1
101531,1
101533,1
101541,1
101545,1
101546,1
101547,1
101558,1
101561,1
10157,1
101570,1
101576,1
101579,1
101587,1
101593,1
101595,1
101599,1
10160,1
101600,1
101604,1
101609,1
10161,1
101619,1
101622,1
101623,1
101628,1
101639,1
101646,1
101650,1
101658,1
101659,1
101664,1
101666,1
101668,1
101672,1
10168,1
101680,1
101686,1
101690,1
101698,1
101706,1
101708,1
101719,1
101729,1
101735,1
101737,1
101738,1
101744,1
101746,1
101748,1
101749,1
101750,1
101755,1
101758,1
101763,1
101765,1
101767,1
101770,1
101771,1
101774,1
101775,1
101783,1
101785,1
101787,1
10179,1
101798,1
101807,1
101809,1
101816,1
101839,1
101845,1
101849,1
101859,1
101873,1
101886,1
101887,1
101911,1
101913,1
101915,1
101918,1
101922,1
101927,1
101936,1
101942,1
101944,1
101949,1
10195,1
101955,1
101956,1
101957,1
101965,1
101967,1
101976,1
101982,1
101988,1
101990,1
101995,1
101999,1
10200,1
102002,1
102007,1
102016,1
102029,1
102038,1
10204,1
102054,1
102059,1
102062,1
102066,1
102067,1
102069,1
102074,1
102081,1
102082,1
102088,1
10209,1
