userid,orderid
17753,1
17745,1
17739,3
17738,1
17734,2
17733,1
17732,1
17728,1
17727,1
17725,1
17720,1
17718,1
17717,1
17715,4
17714,1
17713,1
17712,2
17711,2
17709,1
17707,1
17705,2
17704,3
17703,2
17701,4
17700,3
17698,2
17696,1
17695,1
17694,1
17692,1
17691,2
17689,1
17688,1
17687,2
17686,1
17685,1
17684,1
17683,1
17682,2
17670,1
17669,3
17668,1
17667,2
17665,1
17664,2
17663,2
17661,2
17659,1
17658,2
17657,3
17656,3
17655,1
17654,3
17653,3
17652,4
17651,2
17650,6
17648,2
17647,1
17646,1
17645,5
17644,1
17643,1
17642,2
17641,1
17639,7
17638,3
17637,1
17636,7
17634,1
17632,8
17631,1
17630,4
17629,4
17628,2
17627,4
17626,3
17625,4
17624,1
17623,1
17622,3
17621,3
17620,4
17619,2
17618,2
17617,5
17615,1
17614,3
17613,1
17612,2
17611,1
17610,4
17609,2
17608,1
17607,6
17606,3
17605,5
17603,3
17601,1
17600,3
17599,4
17598,2
17597,3
17596,1
17595,2
17594,6
17593,3
17592,1
17591,4
17590,1
17589,2
17588,1
17587,1
17586,6
17585,3
17584,5
17583,3
17582,7
17581,3
17580,3
17579,2
17578,2
17577,1
17576,5
17575,5
17574,4
17573,2
17572,1
17571,6
17570,2
17568,2
17567,3
17566,2
17565,1
17564,5
17563,5
17562,2
17560,1
17559,3
17558,3
17555,2
17554,3
17553,3
17552,2
17551,2
17549,2
17548,3
17547,5
17546,1
17545,4
17544,6
17543,2
17542,3
17539,1
17538,3
17537,3
17536,2
17535,4
17534,7
17533,4
17532,3
17531,2
17530,2
17529,2
17528,3
17527,3
17526,5
17525,2
17524,3
17523,2
17520,5
17519,1
17518,3
17517,1
17516,7
17515,3
17514,1
17512,3
17511,1
17510,2
17509,1
17508,2
17507,2
17506,1
17505,1
17504,1
17503,1
17502,1
17500,2
17498,5
17497,2
17495,3
17494,1
17493,1
17492,1
17491,3
17490,1
17489,1
17488,3
17486,1
17481,1
17475,3
17474,2
17473,1
17472,1
17471,1
17470,1
17469,2
17468,1
17466,2
17465,2
17464,1
17463,3
17462,3
17461,1
